log_id,tester_id,entry_date,indication,solution,detector,solved_date
1855,630,3/14/2023 12:09,"Nyt on keyboard ongelma korjattu,mutta sen jalkeen ei ole avautunut swift guissa DUT reader ikkuna. Ei start testing eika run selected ainoastaan exit viela nakkaa pois.",Nappainongelman vuoksi PC kaytetty alhaalla ja kaynnistetty uudelleen ja nappsiongelma poistui.  Ilmeisesti SWIFT on ollut paalla tai jossain epastabiilissa tilassa.  Uudelleen kaynnistys oli korruptoinu StationGlobals.ini tiedostoa. Mika korvattu vanhalla. Vanha oli hakemistossa Swift\NationalInstsrurments\TestStand\cfg.,JRu,3/14/2023 12:09
1854,630,3/14/2023 12:08,DST1 testerin PC jaa mustalle sivulle...keyboard error,USB-nappaimiston avulla kaytetty PC alhaalla ja kaynnistetty uudelleen ja nappsiongelma poistui.,JRu,3/14/2023 12:08
1852,630,1/30/2023 8:49,T32005.21 Ei toimi AD_Levels_A11_400Hz / DA_Levels_A11_3kHz    mittaukset.  -MP-                                         ,"Korjattu, kuitattu jalkeenpain",JLampsa,1/30/2023 13:23
1853,630,1/30/2023 12:36,T32005.21 Ei toimi AD_Levels_A11_400Hz / DA_Levels_A11_3kH mittaukset.,2M kaapelit oli irti mittalaitteesta.,JRu,1/30/2023 12:36
1851,628,1/24/2023 14:18,Apukortti T32009.01:ssa sensor s9 ja id kirjoitus ei onnistunut. ,"Apukortti T32007.01:ssa ei syty ledi. Ajettu testijonolla PASS, jonka jalkeen myos T32009.01:n testaus toimi normaalisti.",JRu,1/24/2023 14:18
1850,630,1/19/2023 13:40,ongelma:T33008.02--04 testissa DST1 PC jumittuu heti alussa kohtaan GPIBO:3-0    -MP-,"Korjattu, kuitattu jalkeenpain",JLampsa,1/20/2023 12:23
1849,630,1/13/2023 8:01,"ongelma: T32003.11 etusovittimen johdot niputettu keskenaan, johto nipun paino vetaa liitantoja alaspain jolloin 8 portin liitanta ei saa tarpeeksi kontaktia ja aiheuttaa turhia retesteja.  -MP-","Korjattu, kuitattu jalkeenpain",JRu,1/16/2023 14:23
1848,630,1/12/2023 8:01,ongelma:T32003.11 testauksessa jaa E1_Ber mittausta looppaamaan. -MP-,"Korjattu, kuitattu jalkeenpain",JLampsa,1/13/2023 13:51
1844,628,1/2/2023 13:16,ongelma: Dyna2Fix10 liittimien vaihtovali on tullut tayteen. -MP-,"Korjattu, kuitattu jalkeenpain",JRu,1/2/2023 15:26
1843,595,12/30/2022 13:56,Kalibrointi ja yllapitohuolto,"vaihdettu kaikki probet, Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232.215\TAKAYA1. kaasujouset huonokuntoisia, varaosat hankittuna, mutta ei kiireellisia vaihtaa. TOS 3 kortti korjattu toimii toistaiseksi, varakortti tilauksessa",M.Kallio,12/30/2022 13:56
1842,160,12/30/2022 13:55,Kalibrointi ja yllapitohuolto,"vaihdettu kaikki probet, Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232.215\TAKAYA1. kaasujouset huonokuntoisia, varaosat hankittuna, mutta ei kiireellisia vaihtaa. CD asema rikki jolle ei akuuttia tarvetta uusia",M.Kallio,12/30/2022 13:55
1837,595,12/22/2022 6:54,"TOS3 kortti rikki, kaataa konetta. Toimii vahan aikaa ja sitten koko PC jumittuu. ","Tilattu Testlinelta uusi joka sekaan ei toiminut. Korjattu lopulta 3:sta rikkinaisesta osia vaihtelemalla 1 kortti kuntoon. Varaosa pitaa silti loytaa, kun ei tieda miten kauan korjattu kortti toimii.",M.Kallio,12/22/2022 6:54
1836,630,12/20/2022 15:10,"SWIFTissa DUT Reader ikkuna ei avaudu, kun kaynnistaa testin.",StationGlobals.ini tiedosto vioittunut,JLa,12/20/2022 15:10
1834,630,12/7/2022 7:47,ongelma: SETUP jono ei toimi T32005.01 ja T32003.11,"Korjattu, kuitattu jalkeenpain",JLampsa,12/8/2022 10:12
1835,630,12/7/2022 14:41,Setup jono ei mene PASSiin DST1:lla. Nyt kyseessa T32005.01 mutta maanantaina setupit ei onnistunut myoskaan T32003.11., Vaihdettu adapterikortin takaliittimet.,,12/7/2022 14:41
1830,630,11/16/2022 7:41,Dyna2Fix09 liittimien vaihtovali on tullut tayteen.,Liittimet tsekattu,JHu,11/16/2022 14:25
1829,786,10/24/2022 16:21,No back up after new Win 11 installation ,Safetytester EST2_1-LREOF3O backup image have been created & saved to: QNAP:/TurvaTesteri/turva_est2_1.tibx P3 Service Request 5244873 is now in status: Resolved  24.10.2022/IT/Kaj Pesio,PKo,10/24/2022 16:21
1828,630,10/13/2022 9:10,T32004.11 Ei toimi clear eeprom. ,Kaytetty PC:n virtoja alhaalla ja kaynnistetty uudelleen.,JRu,10/13/2022 9:10
1826,786,9/16/2022 12:58,Vanha PC temppuili ja lopetti pdf-poytakirjojen kirjoittamisen.,"Vaihdettu uusi PC  Device name	EST2_1-LREOF3O Manufacturer	Lenovo Model HW	ThinkCentre neo5 Processor	12th Gen Intel(R) Core(TM) i5-12400   2.50 GHz Installed RAM	8,00 GB (7,72 GB usable) Device ID	E48A4B93-112D-4C86-A760-7A8F180FCF2F Product ID	00355-60714-16698-AAOEM System type	64-bit operating system, x64-based processor  Edition	Windows 11 Pro Version	21H2 Installed on	?07/?09/?2022 OS build	22000.856 Experience	Windows Feature Experience Pack 1000.22000.856.0  AW3 V2",pekka.komulainen@sanmina.com,9/16/2022 12:58
1824,630,9/5/2022 9:26,PC jaa mustalle sivulle ja keyboard erroria valittaa. ,Kaytetty PS2 kaapelia irti painettu F1. --> Hiiri toimi nappaomisto ei toiminut. Uudelleenkaynnistetty jonka jalkeen nappiskin alkoi toimimaan.,JRu,9/5/2022 9:26
1821,595,7/26/2022 12:50,yllapito,Testihuolto suoritettu,web,7/26/2022 12:50
1820,160,7/26/2022 12:38,yllapito,Testihuolto suoritettu,web,7/26/2022 12:38
1818,595,7/26/2022 11:51,Kalibrointi ja yllapitohuolto,"vaihdettu probet #1 ja #4, Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232.215\TAKAYA2. kaasujouset huonokuntoisia, hankittava uudet tilalle.",M.Kallio,7/26/2022 11:51
1819,160,7/26/2022 11:51,Kalibrointi ja yllapitohuolto,"vaihdettu kaikki probet, Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232.215\TAKAYA1. kaasujouset huonokuntoisia, hankittava uudet tilalle. CD asema rikki jolle ei akuuttia tarvetta uusia",M.Kallio,7/26/2022 11:51
1816,630,6/30/2022 9:31,"28-6-22 Opt teleprot Tributary T324004.11 opt loop kaapelit vaihdettu, mutta tarvittavat 5dB opt vaimentimet hukassa. Ei voi testata.","Loytyi vahingossa 10dB vaimennin, jolla korvattu 2kpl 5dB vaimentimia. Tieto Jarkolle varaosien tarpeesta maililla.",Jouni Huttunen,6/30/2022 9:31
1815,630,6/13/2022 13:39,Mittaus 700 E!_BER mittaus ei toimi. Kokeiltu parilla uudella yksikolla seka Goldenunitilla. Testeri kaytetty kiinni kokonaan ja asetukset ajettu uudestaan. Ei auttanut.,Fixturen takaliittimessa kontakti ongelma. (painunut sisaan),JRu,6/13/2022 13:39
1871,630,5/9/2023 13:30,swift guissa ei aukea DUT reader. Ei start testing eika run selected tapahdu mitaan. -MP-,"Stationglobals.ini korrup,kuvake DUT READER korjaus korjaa",JLampsa,5/9/2022 14:23
1814,630,5/5/2022 7:58,T32002 FrontIF liittimien vaihtovali tullut tayteen.,Vaihdettu Eth-kaapelit 6kpl ja SFP-modulit 2kpl uusiin. 5.5.2022,JRu,5/5/2022 7:58
1813,630,4/29/2022 12:17,T32002.01 PoE mittauksissa yksi kanava failaa (kanava 2),Fixture rajapinnasta ethernet-liitin painunut sisaan,JLa,4/29/2022 12:17
1803,630,11/30/2021 9:19,"ongelma: T32005.11...06  parilliset kanavat(2,4,6,8,10,12,14 ja 16)ei toimi AD_Levels_A11_400Hz mittauksista. -MP-                          ",Korjattu seuraavana paivana toisen ongelman yhteydessa Jarkon toimesta,JHuttunen,12/1/2021 14:02
1806,630,12/1/2021 14:02,"T32005.11...06 ei toimi parilliset kanavat.(2,4,6,8,10,12,14,16) Fail mittauksista AD_Levels_A11_400Hz.   ",Johtonippu oli koskettanut ja siirtanyt paikaltaan etuadapterikortin ylempaa releohjaus driveria. Johtimia niputettu erilailla ja asetettu paikaltaan siirtynyt driveri oikealle paikalleen. ,JRu,12/1/2021 14:02
1805,595,12/1/2021 12:01,Kalibrointi ja yllapitohuolto,"vaihdettu kaikki probet, flaikkari rasvattu KLH toimesta, SW1-2 anturia saadetty. Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232.215\TAKAYA2",M.Kallio ja O.Jarvela,12/1/2021 12:01
1804,160,12/1/2021 11:59,Kalibrointi ja yllapitohuolto,"vaihdettu kaikki probet, Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232.215\TAKAYA1",M.Kallio ja O.Jarvela,12/1/2021 11:59
1799,630,11/12/2021 7:49,Altera lataus ei toimi T32005.01 yksikolla. TFTP-lataus ei toiminut.,Apukortti (T32001.01) ei voinut kalustaa testisysteemin UUT:ta. Kaikki apukortin hallitsemat korttipaikat oli Unowned-tilassa SW release 3.5 paivityksen jalkeen.  Kalustettu UUT slotpaikka ownedby me (apukortin hallintaan T32001.01) tilaan. Lisaksi ajettiin UUT:n yksikon T32005.01 test setup apukorttiin (T32001.01). ,JRu,11/12/2021 7:49
1800,630,11/12/2021 7:49,Altera lataus ei toimi T32005.01 yksikolla. TFTP-lataus ei toiminut.,Apukortti (T32001.01) ei voinut kalustaa testisysteemin UUT:ta. Kaikki apukortin hallitsemat korttipaikat oli Unowned-tilassa SW release 3.5 paivityksen jalkeen.  Kalustettu UUT slotpaikka ownedby me (apukortin hallintaan T32001.01) tilaan. Lisaksi ajettiin UUT:n yksikon T32005.01 test setup apukorttiin (T32001.01). ,JRu,11/12/2021 7:49
1796,630,11/2/2021 7:34,ongelma  T32003.01--A6 mittaus 502 temp trunkArrive ei toimi.  -MP-,Korjattu sama paivana toisen ongelman yhteydessa Jarkon toimesta,JHuttunen,11/2/2021 9:03
1797,630,11/2/2021 9:03,DST1 testerilla failaa T32003.01...A6 korteista mittauksesta 502 temp trunk arrive. Eilen viela toimi tanaan enaan ei. Golden Unit myos failaa.  Fixturesta voisi myos kaantokahvan jossain vaiheessa korjata ennen kuin menee kokonaan rikki....rutisee ja ratisee.  Testiraportit eivat myos siirry vaan jaa PC:lle result kansioon.,Verkkokortti oli jumissa. Disabloin verkkokortin mutta enablointi ei enaan onnistunut. Kaytin konetta alhaalla jonka jalkeen enablointi onnistui ja yhteys toimi normaalisti.,JRu,11/2/2021 9:03
1795,630,10/20/2021 10:01,FXO:ssa 8kpl sarjasta 5kpl failas kanavasta15. 000.815 AD_Levels_A11_400Hz_Ch15               -95       000.835 DA_Levels_A11_3kHz_Ch15                  -82.13     000.755 LineCurrent_Ch15                                    0      ,Adapterikortista rele oli jumissa (rele 4).  Nyt vaihdettu ja testattu toimivuus. Lisatty myos driver piirien jannitesyottoon kondensaattori tasaamaan releiden ohjausjannitetta.,JRu,10/20/2021 10:01
1787,630,9/21/2021 9:55,Kommentti aikaisempaan lokitietoon: T32005.21--06 huono saanto PCM-4 mittauksissa,"Ongelma ratkesi, kun FPGA softaan tuli paivitys 3.E. Samalla versio muuttui T32005.21--07:ksi. Testerille 9.syyskuuta. Lisaksi T32005.11--06:een tullut konfig-muutos, jossa ollut myos saanto ongelmia. Korjattu testerille 17.syyskuuta.",JLa,9/21/2021 9:55
1781,630,8/30/2021 9:53,T32005.21--06 huono saanto PCM-4 mittauksissa. Tyypillisesti parittomat (1-3-5-7-jne) kanavat failaa. ,"Fixture apu-trunk paivitetty R2.6 -> R3.5 (25.elok) => ei vaikutusta, testit toimii samoin R3.5:lla. Viiveita muutettu => ei vaikutusta ongelmaan.",JLa,8/30/2021 9:53
1780,630,8/20/2021 8:59,ongelma: T32005.01...08 ei kanava testi toimi.  ,Liittyy seuraaviin,Jouni Huttunen,8/30/2021 9:12
1770,595,6/2/2021 13:46,Kalibrointi ja yllapitohuolto,vaihdettu kaikki probet. Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232.215\TAKAYA2,O.Jarvela,6/2/2021 13:46
1769,160,6/2/2021 13:45,Kalibrointi ja yllapitohuolto,"vaihdettu kaikki probet, Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232.215\TAKAYA1",M.Kallio,6/2/2021 13:45
1767,628,5/17/2021 9:58,Testatut fanit eivat olleet siirtyneet. Siirsin ne aamulla desktopille laitetulla tiedoston siirto ikonilla ja likkasin myos mrf:n disconneted network drive tilaan network drive. Testasin sitten 6kpl aitilevyja T32009.04--08 ja ne eivat siirtyneet tietokantaan vaan edelleen piti kayda erikseen tiedostojen siirrolla siirtaan.,Kovalelyn vaihdon jalkeen rekisteriin oli jaanyt merkitsematta talletuspolku.,JRu,5/17/2021 9:58
1763,630,4/21/2021 8:58,Jostain syysta DNT2B testerin testaus raportit ei siirry tietokantaan Z:\CM\DNT2B_1\Save.,Verkkokortti oli jumissa. Verkkokortti oli connect tilassa vaikka irroitti kaapelin. Verkkokortin disablointikaan ei onnistunut. Kaytin PC:ta alhaalla. Nyt toimii. ,JRu,4/21/2021 8:58
1762,160,4/20/2021 11:13,testit patkii,"probe #4 kaapeli viallinen, vaihdettu",O.Jarvela,4/20/2021 11:13
1758,595,3/4/2021 15:59,iso maara mittausvirheita joka levylla.,"vika paikallistettu debuggauksen avulla probe 1, joka vaihdettu - NOK sama vika, - vaihdettu proben kaapeli uuteen, vika poistui.",M.Kallio,3/4/2021 15:59
1757,160,3/4/2021 15:57,Interface protection between 1 & 2 axis virhetta tulee satunnaisesti ja testi pysahtyy.,"Anturi 1 ja 2 akselin valilla halyttaa kesken testin. Putsattu. Vaihdettu 2 probea, hieman kieroja, ei valttamatta syy. Ajettu Master calib, nayttaisi toimivan. Seurataan.",M.Kallio,3/4/2021 15:57
1753,595,1/27/2021 10:11,pysahtelee kesken testin probe 1 moved to illegal area Y -1,"probe 1 Y akselin valo-anturiin oli valunut oljya, anturi irrotettu ja putsattu paineilmalla ja puhdistusaineella rasvat pois optiikasta, alkoi toimia",M.Kallio,1/27/2021 10:11
1748,160,1/13/2021 10:24,5,Testihuolto_Lisatty time tauluun,Jouni Huttunen,1/13/2021 10:28
1749,595,1/13/2021 10:24,5,Testihuolto_Lisatty time tauluun,Jouni Huttunen,1/13/2021 10:28
1745,595,12/3/2020 11:51,Kalibrointi ja yllapitohuolto,"Powerlamppu rikki - ei vaihdettu, hommataan parempia, nykyiset ei kesta, kone mekaniikat rasvattu KLH:n toimesta. ATP softa paivitetty versioon 5.0-1A.	Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232.215\TAKAYA2",M.Kallio ja O.Jarvela,12/3/2020 11:51
1744,160,12/3/2020 11:50,Kalibrointi ja yllapitohuolto,"Powerlamppu rikki - ei vaihdettu, hommataan parempia, nykyiset ei kesta, kone mekaniikat rasvattu KLH:n toimesta. vaihdettu probe #2, ATP softa paivitetty versioon 5.0-1A. Ohjelmat varmuuskopioitu verkkoasemalle: testerbackup \\143.116.232,215\TAKAYA1",M.Kallio ja O.Jarvela,12/3/2020 11:50
1743,776,12/1/2020 11:17,esim. jos tallasta vikaa tulee testerilla SWDL_2:lla. Serial No;    1700207736FC; Product Name; Indoor Node; Product Code; 9S-NOD-06-01;  ERROR: Flash programming failed!  ERROR: CSR configuration failed! ERROR: Failed with error code 4!,"Kayta IPCSFlasher, CSR-purkki ja sininen purkki (USP-SPI) alhaalla. ",Anita Juntunen,12/1/2020 11:17
1742,776,11/26/2020 9:15,"TIEDOKSI!!!  CCU/testissa. Jos tulee tallanen virheilmoitus. > Starting BER hqGetBer failed: 0 BER 2402;0;70512;2441;0;67800;2480;100;67800 BER FAIL 'RX sensitivity test BER not in limits (<0,2)' > Programming PS memory stderr: ERROR: Testing finished with fail CCU preparation error: CCU tests fail..",TARKISTA!! Ettei Bluetest/ ohjelma ole samanaikaisesti paalla.,Anita Juntunen,11/26/2020 9:15
1741,786,11/19/2020 11:26,Insufficient version controlling.,GitLab version controlling created to: https://143.116.232.12/tesu/est.git,Pekka Komulainen,11/19/2020 11:26
1740,630,11/3/2020 10:29,Ei tunnista yksikkoa (OTPS E1). Ongelma tullut kun ADXC yksikkoa testattu slot6 (reduntant slot),Default asetukset trunkkiin ja Trunkin uudelleen paivitys ver 2.6.  ,JRu,11/3/2020 10:29
1738,630,11/2/2020 12:46,Ei tunnista T32004.12 yksikkoa.,Fixturesta?vaihdettu Trunk-apuyksikko?uudempaan versioon.?,JRu,11/2/2020 12:46
1731,595,8/27/2020 12:05,10.6.2020 Kalibrointi ja yllapitohuolto,"kaikki probet vaihdettu, ohjelmat varmuuskopioitu",M.Kallio ja O.Jarvela,8/27/2020 12:05
1730,160,8/27/2020 12:04,10.6.2020 Kalibrointi ja yllapitohuolto,"kaikki probet vaihdettu, ohjelmat varmuuskopioitu",M.Kallio ja O.Jarvela,8/27/2020 12:04
1729,628,8/7/2020 13:41,Fanien T32007.01...08 testaus ei toimi. Jaa Fan contol versio mittauksesta ja retestissa check erasesta.,"IO kortti ollut tai mennyt testauksen aikana vikatilaan. Proesssorin Fuse ohjelmointi epaonnistunut 3:lla yksikolla. PC:n uudelleen kaynnistys. Poisti ongelman reffi-kortilta ja testaamattomilta korteilta, mutta ei vikatilaisella IO-ohjauksella olleilta 3:lta Fail-yksikolta. Vaihdettu Fail yksikoista AtMega prosessori piiri joka korjasi ongelman.",JRu,8/7/2020 13:41
